PRIMARY_COM_NAME;SCI_NAME
Elliot's Storm-Petrel;Oceanites gracilis
Elliot's Storm-Petrel (Galapagos);Oceanites gracilis galapagoensis
Elliot's Storm-Petrel (Humboldt);Oceanites gracilis gracilis
Oceanites sp.;Oceanites sp.
Gray-backed Storm-Petrel;Garrodia nereis
White-faced Storm-Petrel;Pelagodroma marina
White-bellied Storm-Petrel;Fregetta grallaria
White-bellied Storm-Petrel (White-bellied);Fregetta grallaria [grallaria Group]
White-bellied Storm-Petrel (Rapa I.);Fregetta grallaria titan
New Zealand Storm-Petrel;Fregetta maoriana
New Caledonian Storm-Petrel;Fregetta lineata
Black-bellied Storm-Petrel;Fregetta tropica
Black-bellied Storm-Petrel (Subantarctic);Fregetta tropica tropica
Black-bellied Storm-Petrel (Gough);Fregetta tropica melanoleuca
White-bellied/Black-bellied Storm-Petrel;Fregetta grallaria/tropica
Polynesian Storm-Petrel;Nesofregetta fuliginosa
European Storm-Petrel;Hydrobates pelagicus
European Storm-Petrel (British);Hydrobates pelagicus pelagicus
European Storm-Petrel (Mediterranean);Hydrobates pelagicus melitensis
Fork-tailed Storm-Petrel;Hydrobates furcatus
Ringed Storm-Petrel;Hydrobates hornbyi
Leach's Storm-Petrel;Hydrobates leucorhous
Leach's Storm-Petrel (Leach's);Hydrobates leucorhous leucorhous
Leach's Storm-Petrel (Chapman's);Hydrobates leucorhous chapmani
Townsend's Storm-Petrel;Hydrobates socorroensis
Leach's/Townsend's Storm-Petrel;Hydrobates leucorhous/socorroensis
Leach's/Townsend's Storm-Petrel (dark-rumped);Hydrobates leucorhous/socorroensis (dark-rumped)
Leach's/Townsend's Storm-Petrel (white-rumped);Hydrobates leucorhous/socorroensis (white-rumped)
Ainley's Storm-Petrel;Hydrobates cheimomnestes
Leach's/Townsend's/Ainley's Storm-Petrel;Hydrobates leucorhous/socorroensis/cheimomnestes
Swinhoe's Storm-Petrel;Hydrobates monorhis
Ashy Storm-Petrel;Hydrobates homochroa
Band-rumped Storm-Petrel;Hydrobates castro
Band-rumped Storm-Petrel (Madeiran);Hydrobates castro castro
Band-rumped Storm-Petrel (Grant's);Hydrobates castro [undescribed form]
Band-rumped Storm-Petrel (Darwin's);Hydrobates castro bangsi
Monteiro's Storm-Petrel;Hydrobates monteiroi
Cape Verde Storm-Petrel;Hydrobates jabejabe
Hydrobates sp. (Band-rumped complex);Hydrobates sp. (Band-rumped complex)
Wedge-rumped Storm-Petrel;Hydrobates tethys
Black Storm-Petrel;Hydrobates melania
Guadalupe Storm-Petrel;Hydrobates macrodactylus
Markham's Storm-Petrel;Hydrobates markhami
Black/Markham's Storm-Petrel;Hydrobates melania/markhami
Matsudaira's Storm-Petrel;Hydrobates matsudairae
Swinhoe's/Matsudaira's Storm-Petrel;Hydrobates monorhis/matsudairae
Tristram's Storm-Petrel;Hydrobates tristrami
Least Storm-Petrel;Hydrobates microsoma
Hydrobates sp.;Hydrobates sp.
storm-petrel sp. (dark-rumped);Oceanitidae/Hydrobatidae sp. (dark-rumped)
storm-petrel sp. (white-rumped);Oceanitidae/Hydrobatidae sp. (white-rumped)
storm-petrel sp.;Oceanitidae/Hydrobatidae sp.
Southern Giant-Petrel;Macronectes giganteus
Northern Giant-Petrel;Macronectes halli
Southern/Northern Giant-Petrel;Macronectes giganteus/halli
Northern Fulmar;Fulmarus glacialis
Northern Fulmar (Atlantic);Fulmarus glacialis glacialis/auduboni
Northern Fulmar (Pacific);Fulmarus glacialis rodgersii
Southern Fulmar;Fulmarus glacialoides
Antarctic Petrel;Thalassoica antarctica
Pintado Petrel;Daption capense
Pintado Petrel (Antarctic);Daption capense capense
Pintado Petrel (Snares);Daption capense australe
Snow Petrel;Pagodroma nivea
Kerguelen Petrel;Aphrodroma brevirostris
Large St. Helena Petrel;Pterodroma rupinarum
Great-winged Petrel;Pterodroma macroptera
Gray-faced Petrel;Pterodroma gouldi
Great-winged/Gray-faced Petrel;Pterodroma macroptera/gouldi
Kermadec Petrel;Pterodroma neglecta
Magenta Petrel;Pterodroma magentae
Trindade Petrel;Pterodroma arminjoniana
Herald Petrel;Pterodroma heraldica
Trindade/Herald Petrel;Pterodroma arminjoniana/heraldica
Murphy's Petrel;Pterodroma ultima
Providence Petrel;Pterodroma solandri
Henderson Petrel;Pterodroma atrata
Zino's Petrel;Pterodroma madeira
Cape Verde Petrel;Pterodroma feae
Desertas Petrel;Pterodroma deserta
Cape Verde/Desertas Petrel;Pterodroma feae/deserta
Zino's/Cape Verde/Desertas Petrel;Pterodroma madeira/feae/deserta
Soft-plumaged Petrel;Pterodroma mollis
Barau's Petrel;Pterodroma baraui
White-headed Petrel;Pterodroma lessonii
Mottled Petrel;Pterodroma inexpectata
Bermuda Petrel;Pterodroma cahow
Black-capped Petrel;Pterodroma hasitata
Black-capped Petrel (White-faced);Pterodroma hasitata (White-faced)
Black-capped Petrel (Dark-faced);Pterodroma hasitata (Dark-faced)
Bermuda/Black-capped Petrel;Pterodroma cahow/hasitata
Jamaican Petrel;Pterodroma caribbaea
Juan Fernandez Petrel;Pterodroma externa
Atlantic Petrel;Pterodroma incerta
Galapagos Petrel;Pterodroma phaeopygia
Hawaiian Petrel;Pterodroma sandwichensis
Galapagos/Hawaiian Petrel (Dark-rumped Petrel);Pterodroma phaeopygia/sandwichensis
White-necked Petrel;Pterodroma cervicalis
Juan Fernandez/White-necked Petrel;Pterodroma externa/cervicalis
Bonin Petrel;Pterodroma hypoleuca
Black-winged Petrel;Pterodroma nigripennis
Chatham Islands Petrel;Pterodroma axillaris
Cook's Petrel;Pterodroma cookii
Masatierra Petrel;Pterodroma defilippiana
Gould's Petrel;Pterodroma leucoptera
Gould's Petrel (Gould's);Pterodroma leucoptera leucoptera
Gould's Petrel (New Caledonian);Pterodroma leucoptera caledonica
Collared Petrel;Pterodroma brevipes
Collared Petrel (Collared);Pterodroma brevipes brevipes
Collared Petrel (Magnificent);Pterodroma brevipes magnificens
Stejneger's Petrel;Pterodroma longirostris
Pycroft's Petrel;Pterodroma pycrofti
Cookilaria petrel sp.;Pterodroma sp. (Cookilaria sp.)
Phoenix Petrel;Pterodroma alba
Vanuatu Petrel;Pterodroma occulta
Pterodroma sp.;Pterodroma sp.
Blue Petrel;Halobaena caerulea
Fairy Prion;Pachyptila turtur
Broad-billed Prion;Pachyptila vittata
Salvin's Prion;Pachyptila salvini
MacGillivray's Prion;Pachyptila macgillivrayi
Salvin's/MacGillivray's Prion;Pachyptila salvini/macgillivrayi
Broad-billed/MacGillivray's Prion;Pachyptila vittata/macgillivrayi
Broad-billed/Salvin's/MacGillivray's Prion;Pachyptila vittata/salvini/macgillivrayi
Antarctic Prion;Pachyptila desolata
Slender-billed Prion;Pachyptila belcheri
Fulmar Prion;Pachyptila crassirostris
prion sp.;Pachyptila sp.
Blue Petrel/prion sp.;Halobaena caerulea/Pachyptila sp.
Bulwer's Petrel;Bulweria bulwerii
Jouanin's Petrel;Bulweria fallax
Small St. Helena Petrel;Bulweria bifax
Bulweria sp.;Bulweria sp.
Fiji Petrel;Pseudobulweria macgillivrayi
Mascarene Petrel;Pseudobulweria aterrima
Tahiti Petrel;Pseudobulweria rostrata
Beck's Petrel;Pseudobulweria becki
Lava Petrel (undescribed form);Pseudobulweria [undescribed form]
Pseudobulweria sp.;Pseudobulweria sp.
Bulweria/Pseudobulweria sp.;Bulweria/Pseudobulweria sp.
Gray Petrel;Procellaria cinerea
White-chinned Petrel;Procellaria aequinoctialis
Spectacled Petrel;Procellaria conspicillata
Parkinson's Petrel;Procellaria parkinsoni
Westland Petrel;Procellaria westlandica
Procellaria sp.;Procellaria sp.
Streaked Shearwater;Calonectris leucomelas
Cory's Shearwater;Calonectris borealis
Scopoli's Shearwater;Calonectris diomedea
Cory's/Scopoli's Shearwater;Calonectris borealis/diomedea
Cape Verde Shearwater;Calonectris edwardsii
Cory's/Scopoli's/Cape Verde Shearwater;Calonectris borealis/diomedea/edwardsii
Pink-footed Shearwater;Ardenna creatopus
Flesh-footed Shearwater;Ardenna carneipes
Great Shearwater;Ardenna gravis
Cory's/Scopoli's/Great Shearwater;Calonectris borealis/diomedea/Ardenna gravis
Wedge-tailed Shearwater;Ardenna pacifica
Buller's Shearwater;Ardenna bulleri
Sooty Shearwater;Ardenna grisea
Short-tailed Shearwater;Ardenna tenuirostris
Sooty/Short-tailed Shearwater;Ardenna grisea/tenuirostris
Christmas Shearwater;Puffinus nativitatis
Galapagos Shearwater;Puffinus subalaris
Galapagos Shearwater (Dark-winged);Puffinus subalaris (Dark-winged)
Galapagos Shearwater (Light-winged);Puffinus subalaris (Light-winged)
Manx Shearwater;Puffinus puffinus
Yelkouan Shearwater;Puffinus yelkouan
Balearic Shearwater;Puffinus mauretanicus
Yelkouan/Balearic Shearwater;Puffinus yelkouan/mauretanicus
Hutton's Shearwater;Puffinus huttoni
Bannerman's Shearwater;Puffinus bannermani
Townsend's Shearwater;Puffinus auricularis
Newell's Shearwater;Puffinus newelli
Townsend's/Newell's Shearwater;Puffinus auricularis/newelli
Rapa Shearwater;Puffinus myrtae
Newell's/Rapa Shearwater;Puffinus newelli/myrtae
Bryan's Shearwater;Puffinus bryani
Black-vented Shearwater;Puffinus opisthomelas
Fluttering Shearwater;Puffinus gavia
Hutton's/Fluttering Shearwater;Puffinus huttoni/gavia
Little Shearwater;Puffinus assimilis
Little Shearwater (Tasman);Puffinus assimilis assimilis
Little Shearwater (Hauraki);Puffinus assimilis haurakiensis
Little Shearwater (Kermadec);Puffinus assimilis kermadecensis
Little Shearwater (West Australian);Puffinus assimilis tunneyi
Subantarctic Shearwater;Puffinus elegans
Little/Subantarctic Shearwater;Puffinus assimilis/elegans
Barolo Shearwater;Puffinus baroli
Boyd's Shearwater;Puffinus boydi
Barolo/Boyd's Shearwater (Macaronesian Shearwater);Puffinus baroli/boydi
Sargasso Shearwater;Puffinus lherminieri
Tropical Shearwater;Puffinus bailloni
Tropical Shearwater (Mascarene);Puffinus bailloni bailloni
Tropical Shearwater (Indopacific);Puffinus bailloni [dichrous Group]
Bannerman's/Tropical Shearwater;Puffinus bannermani/bailloni
Persian Shearwater;Puffinus persicus
Heinroth's Shearwater;Puffinus heinrothi
small shearwater sp.;Puffinus sp.
shearwater sp.;Procellariidae sp. (shearwater sp.)
Peruvian Diving-Petrel;Pelecanoides garnotii
Common Diving-Petrel;Pelecanoides urinatrix
South Georgia Diving-Petrel;Pelecanoides georgicus
Common/South Georgia Diving-Petrel;Pelecanoides urinatrix/georgicus
Magellanic Diving-Petrel;Pelecanoides magellani
diving-petrel sp.;Pelecanoides sp.
procellariid sp.;Procellariidae sp.
Asian Openbill;Anastomus oscitans
African Openbill;Anastomus lamelligerus
Black Stork;Ciconia nigra
Abdim's Stork;Ciconia abdimii
African Woolly-necked Stork;Ciconia microscelis
Asian Woolly-necked Stork;Ciconia episcopus
Storm's Stork;Ciconia stormi
Maguari Stork;Ciconia maguari
White Stork;Ciconia ciconia
Black x White Stork (hybrid);Ciconia nigra x ciconia
Oriental Stork;Ciconia boyciana
Ciconia sp.;Ciconia sp.
Black-necked Stork;Ephippiorhynchus asiaticus
Saddle-billed Stork;Ephippiorhynchus senegalensis
Jabiru;Jabiru mycteria
Lesser Adjutant;Leptoptilos javanicus
Marabou Stork;Leptoptilos crumenifer
Greater Adjutant;Leptoptilos dubius
Lesser/Greater Adjutant;Leptoptilos javanicus/dubius
Wood Stork;Mycteria americana
Milky Stork;Mycteria cinerea
Yellow-billed Stork;Mycteria ibis
Painted Stork;Mycteria leucocephala
Milky x Painted Stork (hybrid);Mycteria cinerea x leucocephala
Milky/Painted Stork;Mycteria cinerea/leucocephala
stork sp.;Ciconiidae sp.
Ascension Frigatebird;Fregata aquila
Magnificent Frigatebird;Fregata magnificens
Magnificent Frigatebird (Magnificent);Fregata magnificens rothschildi
Magnificent Frigatebird (Galapagos);Fregata magnificens magnificens
Lesser Frigatebird;Fregata ariel
Lesser Frigatebird (Lesser);Fregata ariel ariel/iredalei
Lesser Frigatebird (Trindade);Fregata ariel trinitatis
Great Frigatebird;Fregata minor
Christmas Island Frigatebird;Fregata andrewsi
frigatebird sp.;Fregata sp.
Abbott's Booby;Papasula abbotti
Northern Gannet;Morus bassanus
Cape Gannet;Morus capensis
Australasian Gannet;Morus serrator
Cape x Australasian Gannet (hybrid);Morus capensis x serrator
Cape/Australasian Gannet;Morus capensis/serrator
Red-footed Booby;Sula sula
Red-footed Booby (Atlantic);Sula sula sula
Red-footed Booby (Indopacific);Sula sula rubripes
Red-footed Booby (Eastern Pacific);Sula sula websteri
Brown Booby;Sula leucogaster
Brown Booby (Atlantic);Sula leucogaster leucogaster
Brown Booby (Forster's);Sula leucogaster plotus
Cocos Booby;Sula brewsteri
Cocos Booby (Brewster's);Sula brewsteri brewsteri
Cocos Booby (Colombian);Sula brewsteri etesiaca
Brown/Cocos Booby;Sula leucogaster/brewsteri
Masked Booby;Sula dactylatra
Brown x Masked Booby (hybrid);Sula leucogaster x dactylatra
Nazca Booby;Sula granti
Masked x Nazca Booby (hybrid);Sula dactylatra x granti
Masked/Nazca Booby;Sula dactylatra/granti
Blue-footed Booby;Sula nebouxii
Cocos x Blue-footed Booby (hybrid);Sula brewsteri x nebouxii
Peruvian Booby;Sula variegata
Blue-footed x Peruvian Booby (hybrid);Sula nebouxii x variegata
booby sp.;Sula sp.
sulid sp.;Sulidae sp.
Anhinga;Anhinga anhinga
African Darter;Anhinga rufa
Oriental Darter;Anhinga melanogaster
Australasian Darter;Anhinga novaehollandiae
Little Pied Cormorant;Microcarbo melanoleucos
Reed Cormorant;Microcarbo africanus
Crowned Cormorant;Microcarbo coronatus
Reed/Crowned Cormorant;Microcarbo africanus/coronatus
Little Cormorant;Microcarbo niger
Pygmy Cormorant;Microcarbo pygmaeus
Red-legged Cormorant;Poikilocarbo gaimardi
Brandt's Cormorant;Urile penicillatus
Red-faced Cormorant;Urile urile
Pelagic Cormorant;Urile pelagicus
Pallas's Cormorant;Urile perspicillatus
Bank Cormorant;Phalacrocorax neglectus
Cape Cormorant;Phalacrocorax capensis
Great Cormorant;Phalacrocorax carbo
Great Cormorant (Dark-breasted);Phalacrocorax carbo carbo/sinensis
Great Cormorant (North Atlantic);Phalacrocorax carbo carbo
Great Cormorant (Australasian);Phalacrocorax carbo novaehollandiae
Great Cormorant (Eurasian);Phalacrocorax carbo sinensis/hanedae
Great Cormorant (Moroccan);Phalacrocorax carbo maroccanus
Great Cormorant (White-breasted);Phalacrocorax carbo lucidus
Japanese Cormorant;Phalacrocorax capillatus
Great/Japanese Cormorant;Phalacrocorax carbo/capillatus
Socotra Cormorant;Phalacrocorax nigrogularis
Spotted Shag;Phalacrocorax punctatus
Pitt Island Shag;Phalacrocorax featherstoni
Indian Cormorant;Phalacrocorax fuscicollis
Little/Indian Cormorant;Microcarbo niger/Phalacrocorax fuscicollis
Little Black Cormorant;Phalacrocorax sulcirostris
Pied Cormorant;Phalacrocorax varius
Black-faced Cormorant;Phalacrocorax fuscescens
European Shag;Gulosus aristotelis
European Shag (Atlantic);Gulosus aristotelis aristotelis
European Shag (Mediterranean);Gulosus aristotelis desmarestii
European Shag (Moroccan);Gulosus aristotelis riggenbachi
Great Cormorant/European Shag;Phalacrocorax carbo/Gulosus aristotelis
Flightless Cormorant;Nannopterum harrisi
Double-crested Cormorant;Nannopterum auritum
Great/Double-crested Cormorant;Phalacrocorax carbo/Nannopterum auritum
Neotropic Cormorant;Nannopterum brasilianum
Double-crested x Neotropic Cormorant (hybrid);Nannopterum auritum x brasilianum
Double-crested/Neotropic Cormorant;Nannopterum auritum/brasilianum
Magellanic Cormorant;Leucocarbo magellanicus
Guanay Cormorant;Leucocarbo bougainvilliorum
Bounty Islands Shag;Leucocarbo ranfurlyi
New Zealand King Shag;Leucocarbo carunculatus
Stewart Island Shag;Leucocarbo chalconotus
Stewart Island Shag (Otago);Leucocarbo chalconotus chalconotus
Stewart Island Shag (Foveaux);Leucocarbo chalconotus stewarti
Chatham Islands Shag;Leucocarbo onslowi
Auckland Islands Shag;Leucocarbo colensoi
Campbell Islands Shag;Leucocarbo campbelli
Imperial Cormorant;Leucocarbo atriceps
Imperial Cormorant (South Georgia);Leucocarbo atriceps georgianus
Imperial Cormorant (Imperial);Leucocarbo atriceps [atriceps Group]
Imperial Cormorant (Blue-eyed);Leucocarbo atriceps [atriceps Group] (Blue-eyed)
Imperial Cormorant (King);Leucocarbo atriceps [atriceps Group] (King)
Imperial Cormorant (Antarctic);Leucocarbo atriceps bransfieldensis
Imperial Cormorant (Crozet);Leucocarbo atriceps melanogenis
Imperial Cormorant (Kerguelen);Leucocarbo atriceps verrucosus
Imperial Cormorant (Heard Island);Leucocarbo atriceps nivalis
Imperial Cormorant (Macquarie);Leucocarbo atriceps purpurascens
Guanay x Imperial Cormorant (hybrid);Leucocarbo bougainvilliorum x atriceps
Guanay/Imperial Cormorant;Leucocarbo bougainvilliorum/atriceps
cormorant sp.;Phalacrocoracidae sp.
White Ibis;Eudocimus albus
Scarlet Ibis;Eudocimus ruber
White x Scarlet Ibis (hybrid);Eudocimus albus x ruber
Glossy Ibis;Plegadis falcinellus
White-faced Ibis;Plegadis chihi
Glossy x White-faced Ibis (hybrid);Plegadis falcinellus x chihi
Glossy/White-faced Ibis;Plegadis falcinellus/chihi
Puna Ibis;Plegadis ridgwayi
White-faced/Puna Ibis;Plegadis chihi/ridgwayi
Madagascar Ibis;Lophotibis cristata
Sharp-tailed Ibis;Cercibis oxycerca
Green Ibis;Mesembrinibis cayennensis
Bare-faced Ibis;Phimosus infuscatus
White-faced/Bare-faced Ibis;Plegadis chihi/Phimosus infuscatus
Plumbeous Ibis;Theristicus caerulescens
Buff-necked Ibis;Theristicus caudatus
Black-faced Ibis;Theristicus melanopis
Andean Ibis;Theristicus branickii
Black-faced/Andean Ibis;Theristicus melanopis/branickii
Theristicus sp.;Theristicus sp.
African Sacred Ibis;Threskiornis aethiopicus
Malagasy Sacred Ibis;Threskiornis bernieri
African/Malagasy Sacred Ibis;Threskiornis aethiopicus/bernieri
Reunion Ibis;Threskiornis solitarius
Black-headed Ibis;Threskiornis melanocephalus
Australian Ibis;Threskiornis molucca
Straw-necked Ibis;Threskiornis spinicollis
Australian x Straw-necked Ibis (hybrid);Threskiornis molucca x spinicollis
Red-naped Ibis;Pseudibis papillosa
White-shouldered Ibis;Pseudibis davisoni
Giant Ibis;Pseudibis gigantea
Northern Bald Ibis;Geronticus eremita
Southern Bald Ibis;Geronticus calvus
Crested Ibis;Nipponia nippon
Olive Ibis;Bostrychia olivacea
Sao Tome Ibis;Bostrychia bocagei
Spot-breasted Ibis;Bostrychia rara
Hadada Ibis;Bostrychia hagedash
Hadada Ibis (Western);Bostrychia hagedash brevirostris
Hadada Ibis (Eastern);Bostrychia hagedash erlangeri/nilotica
Hadada Ibis (Southern);Bostrychia hagedash hagedash
Wattled Ibis;Bostrychia carunculata
ibis sp.;Threskiornithidae sp. (ibis sp.)
Eurasian Spoonbill;Platalea leucorodia
Royal Spoonbill;Platalea regia
African Spoonbill;Platalea alba
Black-faced Spoonbill;Platalea minor
Eurasian x Black-faced Spoonbill (hybrid);Platalea leucorodia x minor
Yellow-billed Spoonbill;Platalea flavipes
Roseate Spoonbill;Platalea ajaja
spoonbill sp.;Platalea sp.
White-crested Tiger-Heron;Tigriornis leucolopha
Rufescent Tiger-Heron;Tigrisoma lineatum
Bare-throated Tiger-Heron;Tigrisoma mexicanum
Fasciated Tiger-Heron;Tigrisoma fasciatum
tiger-heron sp.;Tigrisoma sp.
Boat-billed Heron;Cochlearius cochlearius
Boat-billed Heron (Northern);Cochlearius cochlearius [zeledoni Group]
Boat-billed Heron (Southern);Cochlearius cochlearius cochlearius/panamensis
Agami Heron;Agamia agami
Zigzag Heron;Zebrilus undulatus
Eurasian Bittern;Botaurus stellaris
Australasian Bittern;Botaurus poiciloptilus
American Bittern;Botaurus lentiginosus
Pinnated Bittern;Botaurus pinnatus
Stripe-backed Bittern;Botaurus involucris
Least Bittern;Botaurus exilis
Least Bittern (Northern);Botaurus exilis exilis/pullus
Least Bittern (Southern);Botaurus exilis [erythromelas Group]
Black Bittern;Botaurus flavicollis
Cinnamon Bittern;Botaurus cinnamomeus
Schrenck's Bittern;Botaurus eurhythmus
Cinnamon/Schrenck's Bittern;Botaurus cinnamomeus/eurhythmus
Dwarf Bittern;Botaurus sturmii
Little Bittern;Botaurus minutus
Little Bittern (Little);Botaurus minutus minutus
Little Bittern (African);Botaurus minutus payesii
Little Bittern (Madagascar);Botaurus minutus podiceps
Yellow Bittern;Botaurus sinensis
Cinnamon/Yellow Bittern;Botaurus cinnamomeus/sinensis
Black-backed Bittern;Botaurus dubius
New Zealand Bittern;Botaurus novaezelandiae
small bittern sp.;Botaurus sp. (small bittern sp.)
Yellow-crowned Night Heron;Nyctanassa violacea
Yellow-crowned Night Heron (Yellow-crowned);Nyctanassa violacea [violacea Group]
Yellow-crowned Night Heron (Galapagos);Nyctanassa violacea pauper
Bermuda Night Heron;Nyctanassa carcinocatactes
Black-crowned Night Heron;Nycticorax nycticorax
Black-crowned Night Heron (Eurasian);Nycticorax nycticorax nycticorax
Black-crowned Night Heron (American);Nycticorax nycticorax hoactli
Black-crowned Night Heron (Dusky);Nycticorax nycticorax obscurus
Black-crowned Night Heron (Falklands);Nycticorax nycticorax falklandicus
Yellow-crowned x Black-crowned Night Heron (hybrid);Nyctanassa violacea x Nycticorax nycticorax
Yellow-crowned/Black-crowned Night Heron;Nyctanassa violacea/Nycticorax nycticorax
Reunion Night Heron;Nycticorax duboisi
Mauritius Night Heron;Nycticorax mauritianus
Rodrigues Night Heron;Nycticorax megacephalus
Nankeen Night Heron;Nycticorax caledonicus
Black-crowned x Nankeen Night Heron (hybrid);Nycticorax nycticorax x caledonicus
Black-crowned/Nankeen Night Heron;Nycticorax nycticorax/caledonicus
Ascension Night Heron;Nycticorax olsoni
Malayan Night Heron;Gorsachius melanolophus
Japanese Night Heron;Gorsachius goisagi
Malayan/Japanese Night Heron;Gorsachius melanolophus/goisagi
Capped Heron;Pilherodius pileatus
Whistling Heron;Syrigma sibilatrix
Little Blue Heron;Egretta caerulea
Tricolored Heron;Egretta tricolor
Little Blue x Tricolored Heron (hybrid);Egretta caerulea x tricolor
Reddish Egret;Egretta rufescens
Tricolored Heron x Reddish Egret (hybrid);Egretta tricolor x rufescens
Slaty Egret;Egretta vinaceigula
Black Heron;Egretta ardesiaca
Slaty Egret/Black Heron;Egretta vinaceigula/ardesiaca
Pacific Reef-Heron;Egretta sacra
Chinese Egret;Egretta eulophotes
Snowy Egret;Egretta thula
Little Blue Heron x Snowy Egret (hybrid);Egretta caerulea x thula
Tricolored Heron x Snowy Egret (hybrid);Egretta tricolor x thula
Little Egret;Egretta garzetta
Little Egret (Western);Egretta garzetta garzetta
Little Egret (Australasian);Egretta garzetta immaculata
Little Egret (Dimorphic);Egretta garzetta dimorpha
Snowy x Little Egret (hybrid);Egretta thula x garzetta
Western Reef-Heron;Egretta gularis
Western Reef-Heron (Western);Egretta gularis gularis
Western Reef-Heron (Eastern);Egretta gularis schistacea
Little Egret x Western Reef-Heron (hybrid);Egretta garzetta x gularis
Little Egret/Western Reef-Heron;Egretta garzetta/gularis
Pied Heron;Egretta picata
White-faced Heron;Egretta novaehollandiae
Egretta sp.;Egretta sp.
White-backed Night Heron;Calherodius leuconotus
White-eared Night Heron;Oroanassa magnifica
Striated Heron;Butorides striata
Lava Heron;Butorides sundevalli
Striated x Lava Heron (hybrid);Butorides striata x sundevalli
Striated/Lava Heron;Butorides striata/sundevalli
Little Heron;Butorides atricapilla
Little Heron (African);Butorides atricapilla [atricapilla Group]
Little Heron (Seychelles);Butorides atricapilla crawfordi/degens
Little Heron (Red Sea);Butorides atricapilla brevipes
Little Heron (Asian);Butorides atricapilla [javanica Group]
Little Heron (Australasian);Butorides atricapilla [stagnatilis Group]
Little Heron (Tahiti);Butorides atricapilla patruelis
Green Heron;Butorides virescens
Green Heron (virescens/bahamensis);Butorides virescens virescens/bahamensis
Green Heron (anthonyi);Butorides virescens anthonyi
Green Heron (frazari);Butorides virescens frazari
Striated x Green Heron (hybrid);Butorides striata x virescens
Striated/Green Heron;Butorides striata/virescens
Forest Bittern;Zonerodius heliosylus
Rufous-bellied Heron;Ardeola rufiventris
Squacco Heron;Ardeola ralloides
Malagasy Pond-Heron;Ardeola idae
Indian Pond-Heron;Ardeola grayii
Chinese Pond-Heron;Ardeola bacchus
Indian x Chinese Pond-Heron (hybrid);Ardeola grayii x bacchus
Javan Pond-Heron;Ardeola speciosa
Chinese x Javan Pond-Heron (hybrid);Ardeola bacchus x speciosa
pond-heron sp.;Ardeola sp.
Western Cattle-Egret;Ardea ibis
Little Egret x Western Cattle-Egret (hybrid);Egretta garzetta x Ardea ibis
Eastern Cattle-Egret;Ardea coromanda
Western/Eastern Cattle-Egret;Ardea ibis/coromanda
Pacific Heron;Ardea pacifica
Great Egret;Ardea alba
Great Egret (alba);Ardea alba alba
Great Egret (African);Ardea alba melanorhynchos
Great Egret (American);Ardea alba egretta
Great Egret (modesta);Ardea alba modesta
Yellow-billed Egret;Ardea brachyrhyncha
Great/Yellow-billed Egret;Ardea alba/brachyrhyncha
Western Cattle-Egret/Yellow-billed Egret;Ardea ibis/brachyrhyncha
Medium Egret;Ardea intermedia
Eastern Cattle-Egret/Medium Egret;Ardea coromanda/intermedia
Great/Medium Egret;Ardea alba/intermedia
Yellow-billed/Medium Egret;Ardea brachyrhyncha/intermedia
Plumed Egret;Ardea plumifera
Eastern Cattle-Egret/Plumed Egret;Ardea coromanda/plumifera
Great/Plumed Egret;Ardea alba/plumifera
Medium/Plumed Egret;Ardea intermedia/plumifera
Gray Heron;Ardea cinerea
Gray Heron (Gray);Ardea cinerea cinerea/jouyi
Gray Heron (Madagascar);Ardea cinerea firasa
Gray Heron (Mauritanian);Ardea cinerea monicae
Little Egret x Gray Heron (hybrid);Egretta garzetta x Ardea cinerea
Great Egret x Gray Heron (hybrid);Ardea alba x cinerea
Great Blue Heron;Ardea herodias
Great Blue Heron (Great Blue);Ardea herodias [herodias Group]
Great Blue Heron (Great White);Ardea herodias occidentalis
Great Blue Heron (Wurdemann's);Ardea herodias wardi x occidentalis
Great Egret x Great Blue Heron (hybrid);Ardea alba x herodias
Cocoi Heron;Ardea cocoi
Great Egret x Cocoi Heron (hybrid);Ardea alba x cocoi
Great Blue x Cocoi Heron (hybrid);Ardea herodias x cocoi
Great Blue/Cocoi Heron;Ardea herodias/cocoi
Purple Heron;Ardea purpurea
Purple Heron (Bourne's);Ardea purpurea bournei
Purple Heron (Purple);Ardea purpurea [purpurea Group]
Gray x Purple Heron (hybrid);Ardea cinerea x purpurea
Gray/Purple Heron;Ardea cinerea/purpurea
Humblot's Heron;Ardea humbloti
White-bellied Heron;Ardea insignis
Great-billed Heron;Ardea sumatrana
Black-headed Heron;Ardea melanocephala
Goliath Heron;Ardea goliath
Ardea sp.;Ardea sp.
heron sp.;Ardeidae sp.
white egret sp.;Egretta/Ardea sp.
Hamerkop;Scopus umbretta
Shoebill;Balaeniceps rex
American White Pelican;Pelecanus erythrorhynchos
Brown Pelican;Pelecanus occidentalis
Brown Pelican (Atlantic);Pelecanus occidentalis carolinensis
Brown Pelican (California);Pelecanus occidentalis californicus
Brown Pelican (Southern);Pelecanus occidentalis occidentalis/murphyi
Brown Pelican (Galapagos);Pelecanus occidentalis urinator
Peruvian Pelican;Pelecanus thagus
Great White Pelican;Pelecanus onocrotalus
Australian Pelican;Pelecanus conspicillatus
Pink-backed Pelican;Pelecanus rufescens
Spot-billed Pelican;Pelecanus philippensis
Dalmatian Pelican;Pelecanus crispus
